SDSSName,R.A.(J2000),Decl.(J2000),GALEX_FUV,GALEX_FUV_error,GALEX_NUV,GALEX_NUV_error,SDSS_u,SDSS_u_error,SDSS_g,SDSS_g_error,SDSS_r,SDSS_r_error,SDSS_i,SDSS_i_error,SDSS_z,SDSS_z_error,WISE_W1,WISE_W1_error,Teff,Teff_error,amp,amp_error,theta,theta_error,chi^2/dof,source_id,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,gFlux,gFluxError,bpFlux,bpFluxError,rpFlux,rpFluxError
J0027-0017,00:27:39.497,-00:17:41.93,21.80,0.06,19.89,0.02,19.05,0.02,18.90,0.03,18.98,0.02,19.12,0.03,19.37,0.05,21.21,0.48,10662,60,0.435,0.010,242.7,2.8,0.84,2543534539553939712,4.366423006713246,0.3442174944879204,18.939335,18.909939,18.775875,500.7396676583245,1.6400615613056988,377.20688416366556,7.594690423430292,247.9806678584852,6.6108540418509465
J0047-0048^a,00:47:05.818,-00:48:20.09,20.02,0.04,19.29,0.02,19.00,0.03,19.01,0.02,19.24,0.02,19.50,0.02,19.60,0.05,21.07,0.41,14648,94,0.164,0.003,149.0,1.6,8.67,2530732169756760064,6.257757453117632,0.3831128601861865,19.14032,19.0037,19.082703,416.1197876229173,1.1992727487359998,345.9990213341947,10.875955121781374,186.93336557955905,7.211303281125062
J0048+0017,00:48:30.324,+00:17:52.80,21.18,0.05,19.14,0.01,18.27,0.03,18.14,0.01,18.23,0.01,18.38,0.01,18.63,0.03,20.46,0.22,10639,40,0.876,0.013,344.5,2.5,5.10,2537053433904061696,7.314922571990306,0.21791026591307816,18.171371,18.156694,18.063059,1015.77528505647,1.601735405007381,754.8788436967137,8.001699003052876,478.12806921749757,6.29028400531919
J0146-0051,01:46:18.898,-00:51:50.51,20.61,0.05,18.80,0.01,18.21,0.02,18.17,0.02,18.24,0.01,18.42,0.01,18.61,0.03,21.19,0.41,11770,48,0.672,0.010,301.8,2.3,8.52,2509092307748862336,5.541743488143966,0.26553330956697085,18.17445,18.111101,18.079157,1012.8999550355335,2.6241360783677994,787.2536244099238,11.006858823688683,471.09159923295505,17.848233536668012
J0229-0041,02:29:36.715,-00:41:13.63,23.04,0.14,20.73,0.01,19.38,0.03,19.07,0.03,19.09,0.01,19.17,0.02,19.31,0.04,21.00,0.30,8901,31,0.640,0.011,294.5,2.5,1.93,2500149837945936896,6.438327525166466,0.3335571806727533,19.07767,19.178871,18.81415,440.83744758228676,1.6823130099310293,294.4466271070026,16.48332722769355,239.3911072068986,13.32666893033206
J0832+3709,08:32:26.568,+37:09:55.48,nan,nan,nan,nan,19.39,0.03,18.98,0.01,18.84,0.03,18.83,0.02,18.93,0.04,20.63,0.24,7952,95,1.137,0.050,392.4,8.5,0.63,910101714596889856,8.45725678918352,0.36070148705062316,18.866186,19.008722,18.569677,535.6384685867348,1.2623864751997151,344.4023961713648,8.849079030216442,299.8449455314295,7.50647100118377
J0837+5427,08:37:36.557,+54:27:58.64,nan,nan,21.18,0.07,19.24,0.03,18.73,0.03,18.56,0.02,18.54,0.02,18.52,0.04,20.34,0.16,7449,61,1.815,0.055,495.8,7.5,3.38,1030621658018969856,10.9373275366559,0.25944870659440744,18.552618,18.704144,18.180922,714.9884419056863,1.5857387382543582,455.92992085859754,5.687563001994249,428.9425205192636,9.48701080454899
J1004+1215,10:04:49.541,+12:15:59.65,nan,nan,nan,nan,19.41,0.02,19.18,0.03,19.23,0.02,19.32,0.02,19.43,0.05,22.25,1.07,9773,136,0.440,0.019,244.1,5.2,0.57,3881230901648898560,4.496729140507231,0.440124568231339,19.204283,19.260323,18.927477,392.31369787242954,1.5291697195366745,273.1657390174316,11.535855815655664,215.6637534125333,10.18449353449925
J1031+0936^a,10:31:23.906,+09:36:57.89,nan,nan,nan,nan,18.73,0.03,18.64,0.02,18.80,0.01,18.96,0.02,19.15,0.05,20.63,0.25,11667,224,0.419,0.020,238.2,5.7,0.40,3870096319192789120,4.97854350724248,0.34679323631608056,18.710087,18.653273,18.583447,618.4599840194817,2.060747488565004,477.7998880864849,9.179202540941267,296.0663666592119,9.099818497886695
J1045+0157,10:45:23.866,+01:57:21.96,nan,nan,20.51,0.09,19.32,0.03,19.09,0.01,19.01,0.01,19.07,0.02,19.28,0.07,22.13,1.04,8956,87,0.666,0.021,300.3,4.7,2.56,3809022811956525440,nan,nan,19.040583,18.81942,18.587032,456.15599009944594,2.199814533595381,410.0030045943091,26.22813292328103,295.09057580324094,10.638982666763837
